"","date","Time.trap.pulled","Site","Sampler.s..names","Did.the.trap.fish.properly..Y.N.","Timer.start","Timer.end","X..Nights.Fished","Hours.Fished","Weather..S.PC.O.R.","Photo.taken..Y.N.","Notes","...13","Samples.processing","Subsample.","Metacarcinus.magistermegalopae","Metacarcinus.magisterinstar","...18","Cancer.productus","Metacarcinus.gracilis","Glebocarcinus.oregonensis","Lophopanopeus.bellus","Oregonia.gracilis","Hemigrapsus.sp.","Pugettia.sp.","Pinnixa.sp.","Fabia.sp.","...28","Surf.Smelt","Sand.Lance","Salmon","Gunnel","Sculpin","Flatfish","Pipefish","Amphipod","Isopod..Kelp","Isopod..Pill.Bug","Octopus","Polychaete","Shrimp","...42","Temperature..degrees.C.","Salinity..ppt.","Organization","totalCMagister","TotalDungenessCPUE","DungMegalopeCPUE","DungInstarCPUE"
"14",2019-05-24,"14:00:00","ZIT","margaret homerding","y","21:00:00","05:30:00","2",17,"overcast","y",NA,NA,"frozen","N",0,0,NA,0,34,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,"p","p",NA,NA,NA,"p","p",NA,NA,NA,"Nisqually",0,0,0,0
"15",2019-05-28,"10:00:00","ZIT","katie Houle","n","21:00:00","05:30:00",NA,NA,"overcast","y",NA,NA,"frozen","N",0,0,NA,0,1,0,0,0,2,0,1,0,NA,NA,NA,NA,NA,NA,NA,"p","p",NA,"p",NA,"p","p",NA,NA,NA,"Nisqually",0,NA,NA,NA
"16",2019-05-31,"10:45:00","ZIT","margaret homerding","y","21:00:00","05:30:00","2",17,"overcast","y",NA,NA,"FRESH","N",0,0,NA,0,5,0,0,0,0,0,0,0,NA,NA,"p",NA,NA,NA,NA,"p",NA,NA,NA,"p","p","p",NA,NA,NA,"Nisqually",0,0,0,0
"17",2019-06-02,"09:11:00","ZIT","Adrain And Shannon Boldt","y","21:00:00","05:30:00","2",17,"overcast","y","porcelian crab megalopea?",NA,"frozen","N",0,0,NA,0,3,0,1,0,0,0,0,0,NA,NA,"p","p","p",NA,NA,"p","p",NA,NA,"p","p","p",NA,NA,NA,"Nisqually",0,0,0,0
"18",2019-06-03,"09:11:00","ZIT","katie Houle","y","21:00:00","05:00:00","1",8,"overcast","y",NA,NA,"frozen","N",0,0,NA,0,6,0,0,0,0,0,0,0,NA,NA,"p",NA,NA,NA,NA,"p","p",NA,"p","p","p","p",NA,NA,NA,"Nisqually",0,0,0,0
"19",2019-06-05,"14:30:00","ZIT","margaret homerding","y","21:00:00","05:00:00","2",16,"overcast","y","1 dungy zoea",NA,"frozen","N",1,0,NA,0,21,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,"p","p","p","p","p","p","p",NA,NA,NA,"Nisqually",1,0.0625,0.0625,0
"20",2019-06-07,"09:15:00","ZIT","Jamie Kilgo","y","21:00:00","05:00:00","2",16,"sunny","y",NA,NA,"frozen","N",0,0,NA,0,34,0,0,0,0,0,3,0,NA,NA,NA,NA,NA,NA,NA,"p","p",NA,"p",NA,"p","p",NA,NA,NA,"Nisqually",0,0,0,0
"21",2019-06-09,"10:05:00","ZIT","Shannon Boldt","y","21:00:00","05:00:00","2",16,"sunny","y",NA,NA,"frozen","n",0,0,NA,NA,100,NA,NA,NA,NA,0,0,0,NA,NA,NA,"p",NA,NA,NA,"p",NA,NA,"p",NA,"p","p",NA,NA,NA,"Nisqually",0,0,0,0
"22",2019-06-10,"15:20:00","ZIT","katie Houle","y","21:00:00","05:00:00","1",8,"sunny","y",NA,NA,"frozen","n",0,0,NA,11,20,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,"p",NA,NA,NA,NA,"p","p",NA,NA,NA,"Nisqually",0,0,0,0
"23",2019-06-12,"11:55:00","ZIT","Caleb D (WDFW)","y","21:00:00","05:00:00","2",16,NA,"y",NA,NA,"frozen","n",0,0,NA,NA,98,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"p","p","p",NA,NA,NA,"Nisqually",0,0,0,0
"24",2019-06-14,"09:24:00","ZIT","Margaret Homerding","y","21:00:00","05:00:00","2",16,"overcast","y",NA,NA,"frozen","n",0,0,NA,1,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nisqually",0,0,0,0
"25",2019-06-15,"09:09:00","ZIT","Shannon Boldt","y","21:00:00","05:00:00","1",8,"overcast","y","2 non dungy instars",NA,"frozen","n",0,0,NA,NA,20,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"p","p","p","p",NA,"p","p",NA,NA,NA,"Nisqually",0,0,0,0
"26",2019-06-17,"11:30:00","ZIT","katie Houle","y","21:00:00","05:00:00","2",16,"overcast","y",NA,NA,"frozen","n",0,0,NA,1,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"p",NA,NA,"p",NA,"p","p",NA,NA,NA,"Nisqually",0,0,0,0
"27",2019-06-19,"09:20:00","ZIT","Jamie Kilgo","y","21:00:00","05:00:00","2",16,"sunny","y",NA,NA,"frozen","n",0,0,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"p",NA,NA,NA,NA,"p",NA,NA,NA,NA,"Nisqually",0,0,0,0
"28",2019-06-21,"09:30:00","ZIT","Margaret Homerding","y","21:00:00","05:00:00","2",16,"overcast","y","scanned copy is hard to read need original",NA,"frozen","n",0,0,NA,NA,180,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"p",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nisqually",0,0,0,0
"29",2019-06-23,"09:30:00","ZIT","Shannon Boldt","y","21:00:00","05:00:00","2",16,NA,"y","scanned copy is hard to read need original",NA,"frozen","n",0,0,NA,2,155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"p","p",NA,NA,NA,"Nisqually",0,0,0,0
"30",2019-06-24,"09:30:00","ZIT","katie Houle","y","21:00:00","05:00:00","1",8,"sunny","y","scanned copy is hard to read need original",NA,"frozen","n",0,0,NA,NA,28,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"p",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nisqually",0,0,0,0
"31",2019-06-25,"09:10:00","ZIT","margaret Homerding","y","21:00:00","05:00:00","1",8,NA,"y","scanned copy is hard to read need original",NA,"frozen","n",0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"p",NA,NA,NA,NA,"Nisqually",0,0,0,0
"32",2019-06-26,"09:30:00","ZIT","Erin Stehr  DNR","y","21:00:00","05:00:00","1",8,"pc","y",NA,NA,"frozen","n",0,0,NA,0,92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"p","p",NA,NA,NA,"p","p",NA,NA,NA,"Nisqually",0,0,0,0
"33",2019-06-28,"09:30:00","ZIT","Margaret Homerding","y","21:00:00","05:00:00","2",16,"overcast","y",NA,NA,"frozen","y",0,0,NA,NA,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"p","p",NA,NA,NA,"p","p",NA,NA,NA,"Nisqually",0,0,0,0
"34",2019-06-30,"09:30:00","ZIT","Adrian NW, Kyle S (NRNC)","y","21:00:00","05:00:00","2",16,"sunny","y",NA,NA,"frozen","n",0,0,NA,NA,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"p",NA,NA,NA,NA,"p","p",NA,NA,NA,"Nisqually",0,0,0,0
"35",2019-07-01,"11:15:00","ZIT","katie Houle","y","21:00:00","05:00:00","1",8,"s","y",NA,NA,"frozen","n",0,0,NA,NA,15,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"p",NA,NA,"p","p","p",NA,NA,NA,"Nisqually",0,0,0,0
"36",2019-07-03,"08:04:00","ZIT","Erin Stehr  DNR","y","21:00:00","05:30:00","2",17,"overcast","y",NA,NA,"frozen","n",0,0,NA,4,22,NA,16,NA,NA,NA,NA,NA,NA,NA,"p",NA,NA,NA,NA,"p","p",NA,NA,NA,"p","p",NA,NA,NA,"Nisqually",0,0,0,0
"37",2019-07-05,"13:37:00","ZIT","Margaret Homerding","n","21:00:00","05:30:00",NA,NA,"overcast","y","light trap was not turned on",NA,"frozen","n",0,0,NA,NA,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"p",NA,"p",NA,NA,"p",NA,NA,NA,"Nisqually",0,NA,NA,NA
"38",2019-07-07,"10:25:00","ZIT","K Selstead , ANW","y","21:00:00","05:30:00","2",17,"overcast","y",NA,NA,"frozen","n",0,0,NA,NA,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"p",NA,"p","p","p",NA,NA,NA,"Nisqually",0,0,0,0
"39",2019-07-08,"09:22:00","ZIT","katie Houle","y","21:00:00","05:30:00","1",8.5,"s","y",NA,NA,"frozen","n",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"p",NA,"p",NA,"p","p",NA,NA,NA,"Nisqually",0,0,0,0
"40",2019-07-10,"13:30:00","ZIT","Jamie Kilgo","y","21:00:00","05:30:00","2",17,"rain","y",NA,NA,"frozen","n",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"p",NA,NA,NA,NA,NA,"p",NA,"p",NA,"p","p",NA,NA,NA,"Nisqually",0,0,0,0
"41",2019-07-12,"10:20:00","ZIT","Margaret Homerding","y","21:00:00","05:30:00","2",17,"overcast","y",NA,NA,"frozen","n",0,0,NA,NA,40,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"p",NA,NA,NA,"p","p",NA,NA,NA,"Nisqually",0,0,0,0
"42",2019-07-14,"09:26:00","ZIT","Shannon Boldt","y","21:00:00","05:30:00","2",17,"overcast","y",NA,NA,"frozen","n",0,0,NA,NA,NA,NA,NA,NA,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"p",NA,NA,NA,"p","p",NA,NA,NA,"Nisqually",0,0,0,0
"43",2019-07-16,"11:00:00","ZIT","katie Houle","y","21:00:00","05:30:00","2",17,"sunny","y",NA,NA,"frozen","n",0,0,NA,NA,19,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"p","p",NA,"p","p","p","p",NA,NA,NA,"Nisqually",0,0,0,0
"44",2019-07-17,"12:30:00","ZIT","Jamie Kilgo","n","21:00:00","05:30:00","2",17,"rain","y","timer was not turned on",NA,"frozen","n",0,0,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"p",NA,"p",NA,NA,"p",NA,NA,NA,"Nisqually",0,0,0,0
"45",2019-07-19,"10:30:00","ZIT","Margaret Homerding","y","21:00:00","05:30:00","2",17,"sunny","y",NA,NA,"frozen","n",0,0,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"p","p","p",NA,NA,"p","p",NA,NA,NA,"Nisqually",0,0,0,0
"46",2019-07-20,"09:20:00","ZIT","Shannon Boldt","y","21:00:00","05:30:00","1",8.5,"sunny","y",NA,NA,"frozen","n",0,0,NA,NA,175,NA,NA,NA,NA,NA,NA,NA,NA,"p",NA,NA,NA,NA,NA,NA,"p",NA,NA,NA,"p","p",NA,NA,NA,"Nisqually",0,0,0,0
"47",2019-07-22,"17:15:00","ZIT","katie Houle","y","21:00:00","05:30:00","2",17,"sunny","y",NA,NA,"frozen","n",0,0,NA,NA,350,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"p",NA,NA,NA,"p","p",NA,NA,NA,"Nisqually",0,0,0,0
"48",2019-07-24,"10:00:00","ZIT","Shannon Boldt","y","21:00:00","05:30:00","2",17,"PC","y",NA,NA,"frozen","n",2,0,NA,NA,423,NA,NA,NA,NA,NA,NA,NA,NA,NA,"p",NA,NA,NA,NA,NA,"p","p","p",NA,"p","p",NA,NA,NA,"Nisqually",2,0.117647058823529,0.117647058823529,0
"49",2019-07-26,"11:15:00","ZIT","Margaret Homerding","y","21:00:00","05:30:00","2",17,"sunny","y",NA,NA,"frozen","n",0,0,NA,NA,850,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"p","p",NA,NA,NA,"p","p",NA,NA,NA,"Nisqually",0,0,0,0
"50",2019-07-27,"18:30:00","ZIT","Jamie Kilgo","y","21:00:00","05:30:00","2",17,"sun","y",NA,NA,"frozen","n",1,0,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"p",NA,NA,NA,"p","p",NA,NA,NA,"Nisqually",1,0.0588235294117647,0.0588235294117647,0
"51",2019-07-30,"11:20:00","ZIT","katie Houle","n","21:00:00","05:30:00","3",25.5,"overcast","y",NA,NA,"frozen","n",2,1,NA,NA,400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"p",NA,"p","p",NA,NA,NA,"p","p",NA,NA,NA,"Nisqually",3,0.117647058823529,0.0784313725490196,0.0392156862745098
"52",2019-07-31,"15:48:00","ZIT","Margaret Homerding","y","20:30:00","06:00:00","1",9.5,"sunny","y",NA,NA,"frozen","n",2,0,NA,NA,250,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"p","p",NA,"p",NA,"p","p",NA,NA,NA,"Nisqually",2,0.210526315789474,0.210526315789474,0
"53",2019-08-02,"14:45:00","ZIT","Jamie Kilgo","y","20:30:00","06:00:00","2",19,"sunny","y",NA,NA,"frozen","n",2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"p",NA,NA,NA,NA,"p",NA,NA,NA,NA,"p","p",NA,NA,NA,"Nisqually",2,0.105263157894737,0.105263157894737,0
"54",2019-08-04,"09:20:00","ZIT","Shannon Boldt","y","20:30:00","06:00:00","2",19,"sunny","y",NA,NA,"frozen","n",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"P",NA,NA,NA,NA,NA,NA,NA,NA,NA,"P","P",NA,NA,NA,"Nisqually",1,0.0526315789473684,0.0526315789473684,0
"55",2019-08-05,"11:30:00","ZIT","Yyvonne (NRNC)","y","20:30:00","06:00:00","1",9.5,"sunny","y",NA,NA,"frozen","n",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"p","p",NA,"p",NA,"p","p",NA,NA,NA,"Nisqually",0,0,0,0
"56",2019-08-07,"08:50:00","ZIT","Jamie Kilgo","y","20:30:00","06:00:00","2",19,"overcast","y","dungeness enumerated directly, other crab species enuerated through subsampling.",NA,"frozen","n",2,0,NA,NA,2138,NA,NA,NA,NA,NA,NA,NA,NA,NA,"p",NA,NA,NA,NA,NA,NA,NA,NA,"p","p","p",NA,NA,NA,"Nisqually",2,0.105263157894737,0.105263157894737,0
"57",2019-08-08,"10:05:00","ZIT","Margaret Homerding","y","20:30:00","06:00:00","1",9.5,"overcast","y","dungeness enumerated directly, other crab species enuerated through subsampling.",NA,"frozen","n",1,0,NA,NA,2046,NA,NA,NA,NA,NA,NA,NA,NA,NA,"p",NA,NA,NA,NA,NA,"p",NA,NA,NA,"p","p",NA,NA,NA,"Nisqually",1,0.105263157894737,0.105263157894737,0
"58",2019-08-11,"12:20:00","ZIT","Shannon Boldt","y","20:30:00","06:00:00","3",28.5,"pc","y","dungeness enumerated directly, other crab species enuerated through subsampling.",NA,"frozen","n",1,0,NA,NA,271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"p","p",NA,"p",NA,"p","p",NA,NA,NA,"Nisqually",1,0.0350877192982456,0.0350877192982456,0
"59",2019-08-12,"10:30:00","ZIT","katie Houle","y","20:30:00","06:00:00","1",9.5,"PC","y","dungeness enumerated directly, other crab species enuerated through subsampling.",NA,"frozen","n",0,0,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,"p",NA,NA,NA,"p","p","p","p","p","p","p","p","p",NA,NA,NA,"Nisqually",0,0,0,0
"60",2019-08-14,"09:15:00","ZIT","Shannon Boldt","y","20:30:00","06:00:00","2",19,"sunny","y","dungeness enumerated directly, other crab species enuerated through subsampling.",NA,"frozen","n",0,0,NA,NA,90,NA,NA,NA,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"p",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nisqually",0,0,0,0
"61",2019-08-16,"09:50:00","ZIT","Margaret Homerding","n","20:30:00","06:00:00","2",19,"overcast","y","dungeness enumerated directly, other crab species enuerated through subsampling.",NA,"frozen","n",0,0,NA,NA,2280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"p","p",NA,NA,NA,"p","p",NA,NA,NA,"Nisqually",0,0,0,0
"62",2019-08-17,"09:25:00","ZIT","Shannon Boldt","y","20:30:00","06:00:00","1",9.5,"overcast","y","dungeness enumerated directly, other crab species enuerated through subsampling.",NA,"frozen","n",0,0,NA,NA,257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"p","p",NA,NA,NA,"p","p",NA,NA,NA,"Nisqually",0,0,0,0
"63",2019-08-19,"11:15:00","ZIT","katie Houle","y","20:30:00","06:00:00","2",19,"sunny","y","dungeness enumerated directly, other crab species enuerated through subsampling.",NA,"frozen","n",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"p",NA,NA,NA,NA,NA,"p",NA,"p",NA,"p","p",NA,NA,NA,"Nisqually",0,0,0,0
"64",2019-08-21,"10:05:00","ZIT","Erin Shaffer  DNR","y","20:30:00","06:00:00","2",19,"overcast","y","dungeness enumerated directly, other crab species enuerated through subsampling.",NA,"frozen","n",0,0,NA,NA,1393,NA,NA,NA,NA,NA,NA,NA,NA,NA,"p",NA,NA,NA,NA,NA,"p",NA,NA,NA,"p","p",NA,NA,NA,"Nisqually",0,0,0,0
"65",2019-08-23,"19:09:00","ZIT","Margaret homerding","y","20:00:00","06:30:00","2",21,"overcast","y","dungeness enumerated directly, other crab species enuerated through subsampling.",NA,"frozen","n",0,0,NA,0,1496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"p","p","p",NA,NA,"p","p",NA,NA,NA,"Nisqually",0,0,0,0
"66",2019-08-25,"09:25:00","ZIT","Shannon Boldt","y","20:00:00","06:30:00","2",21,"overcast","y","dungeness enumerated directly, other crab species enuerated through subsampling.",NA,"frozen","n",0,0,NA,NA,360,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"p","p","p","p",NA,"p","p",NA,NA,NA,"Nisqually",0,0,0,0
"67",2019-08-26,"10:30:00","ZIT","katie Houle","n","20:00:00","06:30:00",NA,NA,"sunny","y","trap weight fell off, no sample",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nisqually",NA,NA,NA,NA
"68",2019-08-29,"15:40:00","ZIT","Jamie Kilgo","n","20:00:00","06:30:00","3",31.5,"rain","y","dungeness enumerated directly, other crab species enuerated through subsampling.",NA,"frozen","n",0,0,NA,NA,385,NA,NA,NA,NA,NA,NA,NA,NA,NA,"p",NA,NA,NA,NA,"p","p","p","p",NA,"p","p",NA,NA,NA,"Nisqually",0,0,0,0
"69",2019-08-30,"10:00:00","ZIT","Margaret Homerding","y","20:00:00","06:30:00","1",10.5,"overcast","y","dungeness enumerated directly, other crab species enuerated through subsampling.",NA,"frozen","n",0,0,NA,NA,105,NA,NA,NA,NA,NA,NA,NA,NA,NA,"p",NA,NA,NA,NA,NA,NA,NA,NA,"p","p","p",NA,NA,NA,"Nisqually",0,0,0,0
"70",2019-08-31,"10:15:00","ZIT","k Selstead (NRNC)","y","20:00:00","06:30:00","1",10.5,"overcast","y","dungeness enumerated directly, other crab species enuerated through subsampling.",NA,"frozen","n",0,0,NA,NA,410,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"p","p",NA,NA,NA,"Nisqually",0,0,0,0
"71",2019-09-02,"11:30:00","ZIT","k Selstead (NRNC)","n","20:00:00","06:30:00","3",31.5,"pc","y",NA,NA,"frozen","n",0,0,NA,NA,42,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"p","p",NA,NA,NA,"Nisqually",0,0,0,0
"72",2019-09-04,"08:30:00","ZIT","Jamie Kilgo, erin Stehr","n","20:00:00","06:30:00","2",21,"overcast","y","cod end stuck on, pulled sample throug htop of trap",NA,"frozen","n",0,0,NA,NA,1810,NA,NA,NA,NA,NA,NA,NA,NA,NA,"p",NA,NA,NA,NA,"p",NA,NA,NA,NA,"p","p",NA,NA,NA,"Nisqually",0,0,0,0
"73",2019-04-18,"10:30:00","SQR","Neil Harrington, Liz Tobin","Y","20:00:00","06:30:00","2",21,"O","Y",NA,NA,"Fresh","N",32,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"P",NA,"P","P","P",NA,"P","P",NA,NA,"P","P",NA,NA,NA,"Jamestown",33,1.57142857142857,1.52380952380952,0.0476190476190476
"74",2019-05-02,"11:30:00","SQR","Neil Harrington","Y","20:30:00","06:00:00","2",19,"O","Y",NA,NA,"Fresh","N",837,280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"P","P","P",NA,"P","P",NA,NA,NA,"P",NA,"C","C",NA,NA,NA,"Jamestown",1117,58.7894736842105,44.0526315789474,14.7368421052632
"75",2019-05-08,"10:00:00","SQR","Neil Harrington, Liz Tobin","Y","20:30:00","06:00:00","2",19,"S","N",NA,NA,"Fresh","N",59,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"P",NA,NA,"P",NA,NA,"P",NA,"P","P",NA,NA,NA,"Jamestown",93,4.89473684210526,3.10526315789474,1.78947368421053
